"","StartDate","EndDate","condition","LibCon","WhtDis_comp","LibID","LibDis_comp"
"51","4/17/2019 12:32:21","4/17/2019 12:37:08","Actual threat",1,3.70833333333333,4.5,3.83333333333333
"52","4/17/2019 12:23:49","4/17/2019 12:29:57","Actual threat",8,4.625,6,1.72222222222222
"53","4/17/2019 12:51:57","4/17/2019 12:57:34","Actual threat",3,3.66666666666667,2.5,5.02777777777778
"54","4/17/2019 12:28:31","4/17/2019 12:37:50","Actual threat",4,1.41666666666667,4.75,2.77777777777778
"55","4/17/2019 13:01:43","4/17/2019 13:08:04","Actual threat",7,5.22222222222222,4.25,3.36111111111111
"56","4/17/2019 13:35:57","4/17/2019 13:40:09","Actual threat",5,3.55555555555556,3.5,3.61111111111111
"57","4/17/2019 12:24:54","4/17/2019 12:33:55","Actual threat",5,3.45833333333333,4.5,3.69444444444444
"58","4/17/2019 12:45:23","4/17/2019 12:51:09","Actual threat",4,1,1.75,6.23611111111111
"59","4/17/2019 13:57:09","4/17/2019 14:04:37","Actual threat",3,2.30555555555556,1,6.55555555555556
"60","4/17/2019 13:19:08","4/17/2019 13:59:37","Actual threat",7,4.80555555555556,5.25,2.33333333333333
"61","4/17/2019 12:29:43","4/17/2019 12:42:30","Actual threat",7,3.52777777777778,5.75,3.29166666666667
"62","4/17/2019 12:22:19","4/17/2019 12:38:56","Actual threat",3,4.16666666666667,2,5.38888888888889
"63","4/17/2019 12:26:10","4/17/2019 12:38:51","Actual threat",4,5.34722222222222,1.75,4.98611111111111
"64","4/17/2019 15:44:56","4/17/2019 15:58:28","Actual threat",2,2,2.5,5.08333333333333
"65","4/17/2019 13:02:00","4/17/2019 13:05:43","Actual threat",1,1.18055555555556,1,6.5
"66","4/17/2019 12:24:39","4/17/2019 12:29:59","Actual threat",6,5.63888888888889,4.25,3.30555555555556
"67","4/17/2019 12:55:54","4/17/2019 12:59:03","Actual threat",8,3.86111111111111,5.5,3.08333333333333
"68","4/16/2019 10:22:26","4/17/2019 10:27:08","Actual threat",3,2.83333333333333,1.25,6.31944444444444
"69","4/17/2019 13:19:27","4/17/2019 13:23:14","Actual threat",7,2.55555555555556,6,1.77777777777778
"70","4/17/2019 13:25:29","4/17/2019 13:31:24","Actual threat",8,3.38888888888889,4.25,2.98611111111111
"71","4/17/2019 12:50:00","4/17/2019 12:59:03","Actual threat",6,4.33333333333333,5.25,2.69444444444444
"72","4/17/2019 12:26:26","4/17/2019 12:35:23","Actual threat",1,2.18055555555556,1,6.66666666666667
"73","4/17/2019 12:27:06","4/17/2019 12:37:43","Actual threat",2,2.19444444444444,3.5,4.77777777777778
"74","4/17/2019 12:36:07","4/17/2019 12:40:45","Actual threat",8,1.54166666666667,7,1.05555555555556
"75","4/17/2019 12:26:30","4/17/2019 12:33:49","Actual threat",2,2,1,6.83333333333333
"76","4/17/2019 16:58:18","4/17/2019 17:04:06","Actual threat",7,4.98611111111111,5,2.52777777777778
"77","4/17/2019 14:15:50","4/17/2019 14:21:37","Actual threat",7,4.05555555555556,4.75,2.52777777777778
"78","4/17/2019 12:22:59","4/17/2019 12:27:59","Actual threat",8,2.51388888888889,7,1.05555555555556
"79","4/17/2019 12:47:55","4/17/2019 12:53:02","Actual threat",7,4.63888888888889,3.75,5
"80","4/17/2019 12:30:33","4/17/2019 12:35:58","Actual threat",5,3.44444444444444,1.75,5.63888888888889
"81","4/17/2019 14:24:37","4/17/2019 14:29:11","Actual threat",5,2.18055555555556,5.75,2.125
"82","4/17/2019 13:25:17","4/17/2019 14:31:14","Actual threat",6,1,6.25,1.93055555555556
"83","4/17/2019 12:54:58","4/17/2019 13:00:48","Actual threat",7,2.22222222222222,5.5,2.47222222222222
"84","4/17/2019 12:41:31","4/17/2019 12:45:40","Actual threat",5,3.02777777777778,3.75,4.19444444444444
"85","4/17/2019 16:23:58","4/17/2019 16:29:47","Actual threat",7,2.33333333333333,5.5,2.19444444444444
"86","4/17/2019 13:57:44","4/17/2019 14:02:45","Actual threat",7,4.41666666666667,5.25,2.56944444444444
"87","4/17/2019 12:24:44","4/17/2019 12:30:29","Actual threat",7,4.375,3,4.11111111111111
"88","4/17/2019 12:33:14","4/17/2019 12:41:19","Actual threat",5,5.19444444444444,2,6
"89","4/17/2019 14:04:39","4/17/2019 14:11:38","Actual threat",4,3.44444444444444,1,6.44444444444444
"90","4/17/2019 14:11:29","4/17/2019 14:15:58","Actual threat",8,4.08333333333333,5.75,2.125
"91","4/17/2019 13:15:22","4/17/2019 13:23:38","Actual threat",4,4.38888888888889,2,5.33333333333333
"92","4/17/2019 12:22:32","4/17/2019 12:39:35","Actual threat",5,5.33333333333333,5,2.61111111111111
"93","4/17/2019 13:43:06","4/17/2019 13:49:27","Actual threat",7,3.55555555555556,5.75,2.29166666666667
"94","4/17/2019 17:16:34","4/17/2019 17:25:33","Actual threat",7,2.47222222222222,6.25,1.43055555555556
"95","4/17/2019 12:31:08","4/17/2019 12:40:56","Actual threat",8,5.5,3.75,3.51388888888889
"96","4/17/2019 12:25:11","4/17/2019 12:41:13","Actual threat",5,2.58333333333333,4,3.44444444444444
"97","4/17/2019 12:23:29","4/17/2019 12:27:45","Actual threat",8,5.51388888888889,5,2.47222222222222
"98","4/17/2019 12:29:24","4/17/2019 12:34:10","Actual threat",2,2.15277777777778,1.75,5.45833333333333
"99","4/17/2019 12:32:29","4/17/2019 12:36:33","Actual threat",8,2.34722222222222,7,1
"100","4/17/2019 12:26:19","4/17/2019 12:37:20","Actual threat",2,2.29166666666667,1,6.05555555555556
"101","4/17/2019 12:23:04","4/17/2019 12:29:54","Actual threat",3,2.16666666666667,2.75,4.625
"102","4/17/2019 12:33:19","4/17/2019 12:39:03","Actual threat",4,3.11111111111111,1,6.22222222222222
"103","4/17/2019 12:34:07","4/17/2019 12:44:03","Actual threat",5,2.44444444444444,4.5,2.77777777777778
"104","4/17/2019 14:41:07","4/17/2019 14:50:16","Actual threat",6,3.77777777777778,3.5,3.69444444444444
"105","4/17/2019 12:27:09","4/17/2019 12:37:52","Actual threat",7,2.38888888888889,6.5,1.69444444444444
"106","4/17/2019 12:26:30","4/17/2019 12:33:16","Actual threat",8,5.94444444444444,6.5,1.25
"107","4/17/2019 12:24:10","4/17/2019 12:33:28","Actual threat",5,1.05555555555556,4.5,4.02777777777778
"108","4/17/2019 13:47:46","4/17/2019 13:51:38","Actual threat",7,4.16666666666667,5,3.22222222222222
"109","4/17/2019 12:45:30","4/17/2019 12:54:02","Actual threat",3,2.69444444444444,1,6.27777777777778
"110","4/17/2019 12:34:54","4/17/2019 12:41:18","Actual threat",7,4.38888888888889,5.5,2.25
"111","4/17/2019 12:52:45","4/17/2019 13:04:29","Actual threat",3,1.94444444444444,3.25,4.44444444444444
"112","4/17/2019 12:36:13","4/17/2019 12:47:18","Actual threat",3,4.41666666666667,1.5,5.52777777777778
"113","4/17/2019 12:30:47","4/17/2019 12:38:15","Actual threat",2,2,1.75,5.79166666666667
"114","4/17/2019 12:37:30","4/17/2019 12:41:54","Actual threat",1,1,1,6.66666666666667
"115","4/17/2019 12:29:29","4/17/2019 12:35:51","Actual threat",5,4.30555555555556,3,4.83333333333333
"116","4/17/2019 12:24:16","4/17/2019 12:38:07","Actual threat",1,3.69444444444444,1.25,6.09722222222222
"117","4/17/2019 15:40:44","4/17/2019 15:53:56","Actual threat",6,4.11111111111111,6.25,1.65277777777778
"118","4/17/2019 12:25:00","4/17/2019 12:31:00","Actual threat",7,2.5,5,2.33333333333333
"119","4/17/2019 12:33:15","4/17/2019 12:46:19","Actual threat",6,3.55555555555556,4.75,2.88888888888889
"120","4/17/2019 13:29:23","4/17/2019 13:32:05","Actual threat",7,1.47222222222222,6.25,1.54166666666667
"121","4/17/2019 12:24:47","4/17/2019 12:33:19","Actual threat",8,1,7,1.33333333333333
"122","4/17/2019 12:42:44","4/17/2019 12:49:15","Actual threat",4,1.11111111111111,1,6.94444444444444
"123","4/17/2019 12:23:49","4/17/2019 12:43:20","Actual threat",2,2.11111111111111,1.75,5.95833333333333
"124","4/17/2019 13:45:44","4/17/2019 13:51:46","Actual threat",2,2,3.75,3.72222222222222
"125","4/17/2019 12:26:43","4/17/2019 12:33:16","Actual threat",1,2.22222222222222,1,6.16666666666667
"126","4/17/2019 12:28:00","4/17/2019 12:36:18","Actual threat",8,4.22222222222222,4.75,1.55555555555556
"127","4/17/2019 13:10:50","4/17/2019 13:16:02","Actual threat",7,5.33333333333333,3.75,4.5
"128","4/17/2019 13:33:55","4/17/2019 13:42:24","Actual threat",3,2.97222222222222,6.5,2.91666666666667
"129","4/17/2019 13:35:50","4/17/2019 13:40:26","Actual threat",3,2.61111111111111,1.25,5.98611111111111
"130","4/17/2019 12:22:36","4/17/2019 12:29:05","Actual threat",6,3,4,3.61111111111111
"131","4/17/2019 14:06:17","4/17/2019 14:14:36","Actual threat",7,2.86111111111111,5.25,2.31944444444444
"132","4/17/2019 12:24:15","4/17/2019 12:34:15","Actual threat",2,1.30555555555556,1.25,6.59722222222222
"133","4/17/2019 12:37:42","4/17/2019 12:42:52","Actual threat",4,5.66666666666667,2.25,5.31944444444444
"134","4/17/2019 12:34:42","4/17/2019 12:48:10","Actual threat",1,4.55555555555556,1,6.72222222222222
"135","4/17/2019 12:22:16","4/17/2019 12:27:08","Actual threat",7,4.22222222222222,3.75,3.83333333333333
"136","4/17/2019 12:24:36","4/17/2019 12:34:53","Actual threat",7,4.08333333333333,4.25,2.77777777777778
"137","4/17/2019 12:37:24","4/17/2019 12:48:07","Actual threat",4,2.66666666666667,3.75,3.58333333333333
"138","4/17/2019 12:32:45","4/17/2019 12:42:32","Actual threat",4,2.52777777777778,2.25,5.65277777777778
"139","4/17/2019 12:22:50","4/17/2019 12:28:30","Actual threat",2,1.94444444444444,1,6.55555555555556
