"","LibCon","condition","PolicySupport","IndivAction","TrumpProto","WhtDis_comp"
"100",8,"Control",5.625,4.8,3.66666666666667,5.08333333333333
"101",7,"Control",5,4.8,4.66666666666667,4.75
"102",3,"Control",2.25,3.2,3,1.91666666666667
"103",2,"Control",1.75,4,5.66666666666667,1.33333333333333
"104",5,"Control",2.375,2.2,3,3
"105",1,"Control",1,3.25,6,1.16666666666667
"106",3,"Control",2,2.6,2,2.33333333333333
"107",2,"Control",1.875,2,4,2.54166666666667
"108",1,"Control",2.625,2.6,6,2.25
"109",7,"Control",6.625,6.8,1.66666666666667,3.5
"110",7,"Control",5.70833333333333,6.8,4,4.16666666666667
"111",2,"Control",1.375,3.4,5.33333333333333,2.27083333333333
"112",3,"Control",3.25,4.8,4,2.20833333333333
"113",8,"Control",4.125,6.2,1.66666666666667,2.91666666666667
"114",7,"Control",7,6.6,1.33333333333333,3.5625
"115",8,"Control",5.25,5.2,4.66666666666667,3.5
"116",8,"Control",5.625,5.8,1.66666666666667,3.33333333333333
"117",3,"Control",3.70833333333333,5,3,1.25
"118",3,"Control",2,6,3.33333333333333,2
"119",2,"Control",2.625,4.6,5.33333333333333,1.33333333333333
"120",7,"Control",5.5,4.6,1.33333333333333,2.66666666666667
"121",7,"Control",4.875,4,1.66666666666667,2.41666666666667
"122",6,"Control",1.5,3.8,5,3.45833333333333
"123",6,"Control",7,5.8,2,2.91666666666667
"124",4,"Control",4.25,6.2,1,2.66666666666667
"125",3,"Control",4.5,4.6,4.33333333333333,3.83333333333333
"126",4,"Control",2.75,4.6,4.5,2.10416666666667
"127",2,"Control",2.5,2.25,5,1
"128",2,"Control",3,3.2,4,2.58333333333333
"129",4,"Control",3.58333333333333,2.8,2,2.375
"130",6,"Control",5.125,6,2,4.20833333333333
"131",8,"Control",5.875,6.6,3.66666666666667,5.4375
"132",4,"Control",2,5.8,5.33333333333333,2.625
"133",2,"Control",2.125,4.6,4.5,2.25
"134",2,"Control",3.375,2.8,3,2.54166666666667
"135",7,"Control",5.625,6.6,1,5.66666666666667
"136",5,"Control",1,4,2.33333333333333,3
"137",6,"Control",6.25,2.6,1,3.95833333333333
"138",6,"Control",5.875,5,1.66666666666667,2.83333333333333
"139",4,"Control",4.875,4.75,2,3.54166666666667
"140",6,"Control",5.5,6.4,1.33333333333333,2.22916666666667
"141",7,"Control",6,6.4,3,4
"142",8,"Control",7,7,1,5.58333333333333
"143",4,"Control",3.83333333333333,5.5,6.5,3.66666666666667
"144",2,"Control",4.41666666666667,3.8,5,1.72916666666667
"145",3,"Control",5.25,5,2.33333333333333,4.04166666666667
"146",3,"Control",2.29166666666667,6,1,5.125
"147",8,"Control",6.875,5.6,2.66666666666667,6.41666666666667
"148",7,"Control",5.375,5.8,3.66666666666667,4.97916666666667
"149",7,"Control",5.875,6,1.33333333333333,4
"150",7,"Control",6.25,6.4,1,4.25
"151",7,"Control",6,6.2,2.66666666666667,5.45833333333333
"152",2,"Control",2,4.4,5,2.20833333333333
"153",4,"Control",5.125,4.6,5,1.5625
"154",1,"Control",1,2.8,6.33333333333333,2.6875
"155",4,"Control",4.375,4,4,4.125
"156",2,"Control",3.375,4,4,4
"157",5,"Control",2,2.8,1,4
"158",5,"Control",4,4.6,3,5.125
"159",8,"Control",6,6.4,2,4.75
